Identyfikator zbioru danych;Organ zgłaszający;TERYT;Usługa pobierania;01.01.1900
PL.PZGiK.1;Starosta Powiatu Krakowskiego;1206;https://wms.powiat.krakow.pl:1518/iip/ows;10-02-2025
PL.PZGiK.2;Prezydent Miasta Piekary Śląskie;2471;https://wms.sip.piekary.pl/piekary-egib;10-02-2025
PL.PZGiK.3;Prezydent Miasta Białegostoku;2061;https://webewid-wms.um.bialystok.pl/iip/ows;10-02-2025
PL.PZGiK.4;Starosta Milicki;0213;https://milicki-wms.webewid.pl/iip/ows;10-02-2025
PL.PZGiK.5;Starosta Bielski;2402;https://bielski-ows.webewid.pl/iip/ows;10-02-2025
PL.PZGiK.6;Starosta Powiatu Trzebnickiego;0220;https://trzebnicki-wms.webewid.pl/iip/ows;10-02-2025
PL.PZGiK.7;Starosta Powiatu Mieleckiego;1811;https://mielec.geoportal2.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.8;Starosta Powiatu Gnieźnieńskiego;3003;https://wms.geodezjagniezno.pl/gniezno-egib;10-02-2025
PL.PZGiK.9;Starosta Wrzesiński;3030;https://wms.wrzesnia.powiat.pl/wrzesnia-egib;10-02-2025
PL.PZGiK.10;Prezydent Miasta Stołecznego Warszawy;1465;https://wms2.um.warszawa.pl/geoserver/wfs/wfs;10-02-2025
PL.PZGiK.11;Starosta Zielonogórski;0809;https://giportal.powiat-zielonogorski.pl/zielonagora-egib;10-02-2025
PL.PZGiK.12;Starosta Powiatu Żuromińskiego;1437;https://zuromin-powiat.geoportal2.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.13;Starosta Namysłowski;1606;https://iegib.namyslow.pl/cgi-bin/namyslow-egib;10-02-2025
PL.PZGiK.14;Starosta Cieszyński;2403;https://cieszyn.geoportal2.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.15;Burmistrz Gminy Kęty;121304;https://kety.geoportal2.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.16;Starosta Powiatu Białostockiego;2002;https://bialystok.geoportal2.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.17;Starosta Powiatu Buskiego;2601;https://geodezja.powiat.busko.pl/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.18;Prezydent Miasta Włocławek;0464;https://geoportal.wloclawek.eu/map/geoportal/wfs.php;10-02-2025
PL.PZGiK.19;Starosta Świebodziński;0808;https://giportal2.powiat.swiebodzin.pl/swiebodzin-egib;10-02-2025
PL.PZGiK.20;Starosta Polkowicki;0216;https://polkowicki-wms.webewid.pl/iip/ows;10-02-2025
PL.PZGiK.21;Prezydent Miasta Ruda Śląska;2472;https://rudaslaska.geoportal2.pl/map/geoportal/wfse.php;10-02-2025
PL.PZGiK.22;Starosta Powiatu Pilskiego;3019;https://ikerg.powiat.pila.pl/cgi-bin/pila-egib;10-02-2025
PL.PZGiK.23;Prezydent Miasta Opola;1661;https://wms.um.opole.pl/opole-egib;10-02-2025
PL.PZGiK.24;Starosta Powiatu Lubaczowskiego;1809;https://lubaczow.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.25;Starosta Powiatu Sanockiego;1817;https://sanocki.webewid.pl:8443/iip/ows;10-02-2025
